# Time (s)
0.118940
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
158.08,156.52,156.52,156.52,156.52,8348.52,8348.52,17.07
# Profile Length
20035
# i,tseries,profile,index
0,-34.86800000000000210,8.78750770741548060,6400
1,-39.25699999999999790,8.77790524576755793,6401
2,-40.31900000000000261,8.71490999409349598,6402
3,-38.40699999999999648,8.68200027020604459,6403
4,-38.58200000000000074,8.62648930475211451,6404
5,-39.48599999999999710,8.58989721347222890,6405
6,-39.04800000000000182,8.55831581135914377,6406
7,-39.79800000000000182,8.51785726225864792,6407
8,-39.78399999999999892,8.45582953730150066,6408
9,-38.80700000000000216,8.38893974232676953,6409
10,-41.34100000000000108,8.34914952520920295,6410
11,-40.51599999999999824,8.26159630872552775,6411
12,-41.28900000000000148,8.19192199999086057,6412
13,-38.25999999999999801,8.13090199650648593,6413
14,-38.43800000000000239,8.08630135647138104,6414
15,-40.10000000000000142,8.04803738041363026,6415
16,-37.24000000000000199,7.99775167922657015,6416
17,-36.63900000000000290,7.98374328749140627,6417
18,-37.31000000000000227,8.00158413637660182,6418
19,-38.66499999999999915,8.06960618293320309,6419
20,-37.81000000000000227,8.12448970553759509,6420
21,-38.14999999999999858,8.13922279850756603,6421
22,-42.57800000000000296,8.17710825937028751,6422
23,-40.06799999999999784,8.17718966892812205,6423
24,-37.90999999999999659,8.21607962401836645,6424
25,-38.55499999999999972,8.22373384268045271,6425
26,-37.83299999999999841,8.25489624253233423,6426
27,-37.64399999999999835,8.24866052802570593,6427
28,-38.53499999999999659,8.31193495894162204,6427
29,-43.25399999999999778,8.30503337022508248,6429
30,-41.53900000000000148,8.30948075083350091,6429
31,-43.21500000000000341,8.34025111724129609,6430
32,-40.80199999999999960,8.33097828458461898,6432
33,-39.74399999999999977,8.34737182473443262,6432
34,-39.45900000000000318,8.37668300460020276,6433
35,-39.55899999999999750,8.40920266821334650,6434
36,-39.14500000000000313,8.42924897825084685,6436
37,-38.38900000000000290,8.44359343303685961,6436
38,-38.36399999999999721,8.47179895471762023,6437
39,-40.37400000000000233,8.49846170625130171,6438
40,-41.77499999999999858,8.50587483167750946,6439
41,-40.07699999999999818,8.55594222353808220,6440
42,-41.05299999999999727,8.65497324444728910,6441
43,-39.97599999999999909,8.80670097121951123,6442
44,-38.81499999999999773,8.98663784351509065,12715
45,-38.19400000000000261,8.77691445113712909,12716
46,-40.86599999999999966,8.63170544373952531,12717
47,-41.58700000000000330,8.49608403625592956,12717
48,-39.63700000000000045,8.32474713730987048,12719
49,-37.68200000000000216,8.16187172410503159,12719
50,-39.62500000000000000,8.06890592342264945,12720
51,-40.08200000000000074,7.90407234314300844,12721
52,-39.42699999999999960,7.75480945937347688,12722
53,-38.27300000000000324,7.47624161356793238,12724
54,-37.89800000000000324,7.21431649337731251,12725
55,-27.49899999999999878,6.89204494736831652,12726
56,-25.64300000000000068,6.80769270143129646,12727
57,-27.58500000000000085,6.69208709743308283,12728
58,-14.38599999999999923,6.62342701208290663,12729
59,-9.68609999999999971,6.61468251629397663,12730
60,-8.72910000000000075,6.63705143290038446,12731
61,-6.00720000000000010,6.67738169337148069,12732
62,-2.74849999999999994,6.66097893514775841,12733
63,-2.49909999999999988,6.66670173595674687,12733
64,-0.15823999999999999,6.61679015915568947,12734
65,0.59897000000000000,6.55423194042116641,12735
66,2.40720000000000001,6.50633649211921483,12736
67,2.61819999999999986,6.50939181378560505,12737
68,4.42879999999999985,6.45266060656059537,12738
69,4.62460000000000004,6.40208174020674914,12739
70,5.90840000000000032,6.37353707403298930,12740
71,6.69259999999999966,6.33783043214509068,12741
72,5.64630000000000010,6.31125566929618653,12742
73,0.78861000000000003,6.30170556608635479,12743
74,-5.76890000000000036,6.30737841322971526,12744
75,-7.82770000000000010,6.30320889241814974,12745
76,-8.30020000000000024,6.32630969805107135,12746
77,-7.42189999999999994,6.32211078310408414,12747
78,-7.89860000000000007,6.31741440850732960,12748
79,-8.66649999999999920,6.32668825482045349,12749
80,-8.04570000000000007,6.34475962622100020,12750
81,-8.03560000000000052,6.45223441632314554,12751
82,-6.07699999999999996,6.50782905616398910,12753
83,-4.79399999999999959,6.62102255647360671,12753
84,-1.65169999999999995,6.79947673610927517,12754
85,-1.40959999999999996,7.17242760455763317,12755
86,-1.47659999999999991,7.60937139703669185,12756
87,0.00660230000000000,7.96592596250368423,12757
88,-1.80899999999999994,8.32393124262693540,12758
89,-5.53209999999999980,8.65445879097256210,12759
90,-7.20509999999999984,8.94390586826300726,12760
91,-11.89899999999999913,9.22992917877034280,12761
92,-13.92399999999999949,9.52772124174721569,12762
93,-12.62100000000000044,9.78618466727347602,12763
94,-11.61500000000000021,10.00581141140148134,12764
95,-12.65700000000000003,10.18159720837257076,12765
96,-13.73099999999999987,10.37995165674995768,12766
97,-13.38000000000000078,10.52395326259410702,34
98,-14.19899999999999984,10.58238496958878905,35
99,-14.02399999999999913,10.65249240759244032,36
100,-15.19699999999999918,10.72130559104220104,37
101,-15.08099999999999952,10.79519132066261911,38
102,-13.85100000000000087,10.91105344587882442,38
103,-15.04400000000000048,11.04506462994856797,39
104,-16.66900000000000048,11.16436552546661609,12774
105,-18.52899999999999991,11.17773485569560421,12775
106,-20.23699999999999832,11.15538131132715627,43
107,-20.57300000000000040,11.18474029423526872,43
108,-25.42299999999999827,11.25516228654270989,45
109,-24.65099999999999980,11.45631305166578251,45
110,-23.56400000000000006,11.63252625595173839,47
111,-26.76399999999999935,11.72526888694402381,8218
112,-24.43199999999999861,11.75533080665461583,8219
113,-25.69000000000000128,11.74631579802932890,8220
114,-27.39300000000000068,11.73184365735537149,8221
115,-26.55999999999999872,11.69458884896792128,8222
116,-26.90700000000000003,11.64591095506172103,8223
117,-26.85800000000000054,11.67160824297393695,8223
118,-25.68199999999999861,11.78363939821684703,8224
119,-25.48900000000000077,11.88848165587620898,8225
120,-27.25600000000000023,11.95750959254624490,8226
121,-16.45700000000000074,12.04605834960149302,8227
122,-9.13760000000000083,12.10678284469361010,8229
123,-3.40099999999999980,12.14175367820668860,8230
124,-4.30839999999999979,12.16035841852641042,8231
125,-3.94760000000000000,12.14229762676924196,18302
126,-2.06360000000000010,12.11969547296346583,18303
127,0.15825000000000000,12.10625949720616923,18304
128,2.22409999999999997,12.10745599196937050,18305
129,4.01480000000000015,12.13998887251792347,18305
130,2.79579999999999984,12.17705098293231813,8236
131,3.55410000000000004,12.17720858914983140,8237
132,3.48609999999999998,12.17417855568631246,8238
133,2.24160000000000004,12.13835536736100273,18310
134,2.96919999999999984,12.10667638332379425,18311
135,4.51790000000000003,12.06773382125385119,8242
136,1.79410000000000003,11.97480259594273555,8243
137,-3.19919999999999982,11.94673350736145956,8243
138,-2.29950000000000010,11.94664975504120719,8245
139,-3.66719999999999979,11.93380858007506617,8245
140,-1.78550000000000009,11.92389877684935051,8247
141,-1.02000000000000002,11.89028107008379820,8248
142,-1.12480000000000002,11.85919932585710512,8249
143,0.29672999999999999,11.83563505453270182,8249
144,-0.76707000000000003,11.80929119262985516,8250
145,-0.84118000000000004,11.79147473393181755,8251
146,-0.98080000000000001,11.79619174523169356,8252
147,-1.38579999999999992,11.81432266161285050,8253
148,-0.61175000000000002,11.85475606815717065,8254
149,-0.90063000000000004,11.89201123300512819,8255
150,0.15859999999999999,11.94539191398647127,8256
151,1.44779999999999998,11.99917566613581066,8257
152,-3.15799999999999992,12.07408797494800368,8259
153,-11.36800000000000033,12.10370328597343281,8259
154,-13.70700000000000074,12.12363048210172600,8260
155,-13.76800000000000068,12.12471427387778711,8261
156,-16.10600000000000165,12.13242224112938850,8263
157,-14.82600000000000051,12.07771674224604652,8264
158,-15.84500000000000064,12.04750842046687431,8265
159,-17.10999999999999943,12.16221815160276165,8266
160,-14.14300000000000068,12.29530451445351247,8268
